Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 35.22      0.81     0.81 76600711     0.00     0.00  scene::physics::Position::operator<(scene::physics::Position const&) const
  6.96      0.97     0.16 78538764     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_key(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > const*)
  6.96      1.13     0.16 76600711     0.00     0.00  std::less<scene::physics::Position>::operator()(scene::physics::Position const&, scene::physics::Position const&) const
  6.52      1.28     0.15  1969451     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::equal_range(scene::physics::Position const&)
  6.09      1.42     0.14 29483730     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_right(std::_Rb_tree_node_base*)
  5.22      1.54     0.12 29703232     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_left(std::_Rb_tree_node_base*)
  3.48      1.62     0.08 78538764     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_addr() const
  3.48      1.70     0.08 78538764     0.00     0.00  std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::operator()(std::pair<scene::physics::Position const, scene::physics::Physics_Object> const&) const
  3.04      1.77     0.07 78538764     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_ptr() const
  2.83      1.83     0.07 78538764     0.00     0.00  std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_valptr() const
  2.17      1.89     0.05   969093     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_get_insert_equal_pos(scene::physics::Position const&)
  1.52      1.92     0.04  3938902     0.00     0.00  std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >&& std::forward<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >(std::remove_reference<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::type&)
  0.87      1.94     0.02  4907651     0.00     0.00  std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_valptr()
  0.87      1.96     0.02  2011319     0.00     0.00  scene::physics::Physics_Object_List::nudge_card(double, scene::physics::Dir_3d_card, scene::physics::Physics_Object&)
  0.87      1.98     0.02  1969451     0.00     0.00  std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::equal_range(scene::physics::Position const&)
  0.87      2.00     0.02   969147     0.00     0.00  decltype (::new ((void*)(0)) scene::physics::Nudge_Command((declval<scene::physics::Nudge_Command>)())) std::construct_at<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&)
  0.87      2.02     0.02   968961     0.00     0.00  std::pair<std::__strip_reference_wrapper<std::decay<scene::physics::Position>::type>::__type, std::__strip_reference_wrapper<std::decay<scene::physics::Physics_Object>::type>::__type> std::make_pair<scene::physics::Position, scene::physics::Physics_Object>(scene::physics::Position&&, scene::physics::Physics_Object&&)
  0.87      2.04     0.02        2    10.00    30.19  scene::physics::Physics_Object_List::execute(double)
  0.87      2.06     0.02                             main
  0.43      2.07     0.01  4908127     0.00     0.00  std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.43      2.08     0.01  4907651     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_addr()
  0.43      2.09     0.01  3875976     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_get_Node_allocator()
  0.43      2.10     0.01  2938545     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_mbegin() const
  0.43      2.11     0.01  2906883     0.00     0.00  scene::physics::Physics_Object&& std::forward<scene::physics::Physics_Object>(std::remove_reference<scene::physics::Physics_Object>::type&)
  0.43      2.12     0.01  2011319     0.00     0.00  scene::physics::delta_speed(double, double)
  0.43      2.13     0.01  2000610     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > const&, std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > const&)
  0.43      2.14     0.01  1969451     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::pair<std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, true>(std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >&&, std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >&&)
  0.43      2.15     0.01  1000252     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_upper_bound(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, std::_Rb_tree_node_base*, scene::physics::Position const&)
  0.43      2.16     0.01  1000102     0.00     0.00  scene::physics::Physics_Object_List::add_object(scene::physics::Physics_Data)
  0.43      2.17     0.01   969147     0.00     0.00  scene::physics::Nudge_Command& std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::emplace_back<scene::physics::Nudge_Command>(scene::physics::Nudge_Command&&)
  0.43      2.18     0.01   969093     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*)
  0.43      2.19     0.01   968961     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_max_size() const
  0.43      2.20     0.01   968961     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >&, std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, unsigned long)
  0.43      2.21     0.01   968961     0.00     0.00  std::pair<scene::physics::Position const, scene::physics::Physics_Object>::pair<scene::physics::Position, scene::physics::Physics_Object, true>(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&)
  0.43      2.22     0.01   968961     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_put_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*)
  0.43      2.23     0.01   968961     0.00     0.00  std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >* std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_create_node<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&)
  0.43      2.24     0.01   968961     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*)
  0.43      2.25     0.01   968961     0.00     0.00  std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_emplace_equal<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&)
  0.43      2.26     0.01   968961     0.00     0.00  std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::emplace<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&)
  0.43      2.27     0.01      132     0.08     0.08  scene::physics::Position* std::addressof<scene::physics::Position>(scene::physics::Position&)
  0.43      2.28     0.01                             scene::physics::Position::operator==(scene::physics::Position const&) const
  0.43      2.29     0.01                             _init
  0.22      2.29     0.01   968961     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_drop_node(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*)
  0.22      2.30     0.01        1     5.00     5.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::new_allocator()
  0.00      2.30     0.00  5813766     0.00     0.00  std::pair<scene::physics::Position, scene::physics::Physics_Object>&& std::forward<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::remove_reference<std::pair<scene::physics::Position, scene::physics::Physics_Object> >::type&)
  0.00      2.30     0.00  4907651     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_ptr()
  0.00      2.30     0.00  3907637     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_end()
  0.00      2.30     0.00  2969465     0.00     0.00  std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::operator->() const
  0.00      2.30     0.00  2938545     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_begin()
  0.00      2.30     0.00  2907470     0.00     0.00  scene::physics::Nudge_Command&& std::forward<scene::physics::Nudge_Command>(std::remove_reference<scene::physics::Nudge_Command>::type&)
  0.00      2.30     0.00  2907069     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.30     0.00  2906883     0.00     0.00  scene::physics::Position&& std::forward<scene::physics::Position>(std::remove_reference<scene::physics::Position>::type&)
  0.00      2.30     0.00  1938356     0.00     0.00  __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::__normal_iterator(scene::physics::Nudge_Command* const&)
  0.00      2.30     0.00  1938246     0.00     0.00  __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::base() const
  0.00      2.30     0.00  1938210     0.00     0.00  __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::operator*() const
  0.00      2.30     0.00  1938134     0.00     0.00  std::is_constant_evaluated()
  0.00      2.30     0.00  1000305     0.00     0.00  scene::physics::Physics_Object_List::resist_at_pos(scene::physics::Position&)
  0.00      2.30     0.00  1000252     0.00     0.00  std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, std::_Rb_tree_node_base*, scene::physics::Position const&)
  0.00      2.30     0.00   969178     0.00     0.00  std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::end()
  0.00      2.30     0.00   969147     0.00     0.00  __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::operator-(long) const
